Car_ID,Date,Brand,Model,Year,Body_Type,Fuel_Type,Transmission,Region,Sales_Units,Unit_Price,Total_Sales,Dealer,Customer_Type
39,07/03/2020,Hyundai,Santa Fe,2018,Sedan,Diesel,Automatic,Lagos,16,12294214.22,196707427.5,AutoNation,Returning
40,10/09/2020,Toyota,Highlander,2024,Hatchback,Hybrid,Manual,Kano,25,12275934.8,306898370,AutoNation,New
41,21/03/2019,Kia,Seltos,2024,SUV,Petrol,Manual,Lagos,23,15648110.16,359906533.7,AutoNation,New
42,17/11/2021,Hyundai,Kona,2018,SUV,Diesel,Manual,Lagos,21,17123295.14,359589197.9,AutoNation,New
43,15/02/2023,BMW,X3,2023,Truck,Hybrid,Automatic,Abuja,9,43878857.21,394909714.9,CarPoint,Returning
44,23/05/2023,Ford,Edge,2021,Hatchback,Hybrid,Automatic,Abuja,9,14528083.06,130752747.5,CarPoint,New
45,08/12/2023,Volkswagen,Passat,2024,Truck,Hybrid,Automatic,Ibadan,25,39033505.6,975837640,DriveX,Returning
46,31/03/2023,Toyota,Camry,2022,Sedan,Petrol,Manual,Abuja,3,19486150.99,58458452.97,SpeedHub,Returning
47,20/09/2019,Honda,CR-V,2023,Sedan,Petrol,Manual,Abuja,24,13176497.61,316235942.6,AutoNation,Returning
48,30/03/2023,Mercedes,GLE,2024,Hatchback,Electric,Automatic,Abuja,9,24265223.56,218387012,MegaMotors,New
49,04/04/2020,BMW,5 Series,2024,Sedan,Diesel,Automatic,Lagos,5,19684241.48,98421207.4,DriveX,Returning
50,02/06/2022,Honda,Accord,2020,Sedan,Petrol,Automatic,Lagos,8,30158901.89,241271215.1,DriveX,Returning
51,20/09/2019,Ford,Focus,2022,Truck,Petrol,Automatic,Abuja,11,22708121.58,249789337.4,AutoNation,Returning
52,15/08/2024,Toyota,RAV4,2022,Hatchback,Hybrid,Automatic,Abuja,24,29928315.87,718279580.9,SpeedHub,Returning
53,03/07/2023,Volkswagen,Tiguan,2022,Sedan,Petrol,Manual,Lagos,17,36277713.36,616721127.1,SpeedHub,New
54,11/03/2020,Lexus,LX,2023,Truck,Petrol,Automatic,Abuja,18,23171712.29,417090821.2,AutoNation,Returning
55,08/10/2024,Kia,Sportage,2024,Truck,Hybrid,Manual,Ibadan,12,30563793.52,366765522.2,SpeedHub,Returning
56,29/05/2020,Honda,CR-V,2020,Truck,Diesel,Automatic,Ibadan,12,24725685.86,296708230.3,SpeedHub,New
57,01/12/2023,Honda,Accord,2023,Sedan,Electric,Automatic,Port Harcourt,23,42761918.8,983524132.4,CarPoint,Returning
58,11/02/2024,Volkswagen,Jetta,2022,Truck,Electric,Manual,Abuja,2,34626179.71,69252359.42,MegaMotors,Returning
59,12/06/2021,Kia,Seltos,2024,Truck,Petrol,Manual,Port Harcourt,16,29685563.5,474969016,MegaMotors,New
60,31/10/2022,Ford,Edge,2021,Truck,Electric,Manual,Port Harcourt,11,16377170.96,180148880.6,DriveX,Returning
61,02/05/2023,Kia,Sorento,2023,Truck,Petrol,Manual,Lagos,8,26651369.31,213210954.5,MegaMotors,Returning
62,24/12/2022,Mercedes,E-Class,2018,Sedan,Electric,Automatic,Kano,3,15728235.25,47184705.75,CarPoint,New
63,11/01/2022,Kia,Sorento,2024,Sedan,Petrol,Automatic,Kano,22,26641986.19,586123696.2,CarPoint,Returning
64,22/11/2020,Honda,CR-V,2022,Hatchback,Hybrid,Automatic,Abuja,8,39833400.25,318667202,CarPoint,New
65,30/05/2022,Lexus,LX,2023,Hatchback,Petrol,Manual,Kano,22,8228297.31,181022540.8,CarPoint,Returning
66,29/09/2024,Toyota,Camry,2023,Sedan,Electric,Manual,Kano,10,23043678.9,230436789,CarPoint,Returning
67,04/08/2023,Ford,Focus,2018,Sedan,Hybrid,Manual,Kano,16,13848252.85,221572045.6,CarPoint,New
68,19/04/2023,Ford,Escape,2024,Sedan,Diesel,Manual,Abuja,14,10650748.3,149110476.2,SpeedHub,Returning
69,02/07/2019,Toyota,RAV4,2018,SUV,Hybrid,Manual,Port Harcourt,24,38884518.29,933228439,AutoNation,Returning
70,14/12/2023,Nissan,Rogue,2020,SUV,Electric,Manual,Kano,21,24722507.71,519172661.9,DriveX,Returning
71,14/01/2021,Honda,Accord,2022,Truck,Hybrid,Manual,Port Harcourt,24,11941945.87,286606700.9,DriveX,Returning
72,28/03/2022,Toyota,Corolla,2018,Truck,Hybrid,Automatic,Kano,25,32715576.18,817889404.5,SpeedHub,Returning
73,07/10/2022,Honda,Accord,2023,Sedan,Electric,Automatic,Lagos,10,27482514.78,274825147.8,CarPoint,Returning
74,04/11/2021,Lexus,NX,2022,Sedan,Diesel,Manual,Abuja,9,17554313.08,157988817.7,AutoNation,Returning
75,11/11/2019,Toyota,Corolla,2018,Hatchback,Hybrid,Manual,Lagos,17,44373654.73,754352130.4,DriveX,New
76,31/10/2020,Mercedes,GLC,2020,Hatchback,Petrol,Automatic,Abuja,22,21464119.98,472210639.6,DriveX,Returning
77,30/07/2020,BMW,5 Series,2022,Sedan,Petrol,Automatic,Abuja,1,27178555.44,27178555.44,SpeedHub,Returning
78,16/02/2023,Lexus,RX,2020,SUV,Hybrid,Automatic,Lagos,11,32714233.08,359856563.9,DriveX,New
79,21/08/2019,Mercedes,E-Class,2020,SUV,Electric,Manual,Ibadan,3,14844244.55,44532733.65,SpeedHub,Returning
80,25/03/2023,Kia,Rio,2022,SUV,Electric,Automatic,Abuja,7,42181812.42,295272686.9,MegaMotors,Returning
81,22/12/2024,Lexus,NX,2024,Sedan,Diesel,Manual,Lagos,10,41684142.61,416841426.1,DriveX,New
82,10/10/2024,BMW,X5,2023,Truck,Petrol,Manual,Lagos,18,36300345.97,653406227.5,SpeedHub,Returning
83,11/07/2021,Volkswagen,Jetta,2021,Hatchback,Petrol,Automatic,Kano,18,30117512.6,542115226.8,DriveX,Returning
84,21/08/2019,Hyundai,Tucson,2024,SUV,Hybrid,Automatic,Ibadan,23,8009126.53,184209910.2,SpeedHub,New
85,02/04/2019,Hyundai,Santa Fe,2018,SUV,Diesel,Automatic,Abuja,7,35174884.48,246224191.4,AutoNation,New
86,11/11/2024,Volkswagen,Passat,2022,Sedan,Hybrid,Manual,Ibadan,9,22691268.47,204221416.2,AutoNation,New
87,07/12/2020,Lexus,LX,2020,Sedan,Diesel,Automatic,Lagos,4,22546919.03,90187676.12,CarPoint,New
88,16/04/2019,Hyundai,Elantra,2018,SUV,Diesel,Manual,Lagos,12,16628128.26,199537539.1,MegaMotors,New
89,24/12/2019,Hyundai,Elantra,2020,SUV,Electric,Automatic,Lagos,4,14507030.65,58028122.6,DriveX,New
90,19/05/2021,Volkswagen,Atlas,2021,Sedan,Hybrid,Automatic,Lagos,22,40883056.17,899427235.7,MegaMotors,New
91,01/05/2023,Mercedes,GLC,2018,Hatchback,Petrol,Automatic,Abuja,22,15775695.14,347065293.1,CarPoint,New
92,20/11/2022,Kia,Sorento,2020,Sedan,Hybrid,Manual,Kano,19,31397117.83,596545238.8,CarPoint,Returning
93,11/03/2023,Volkswagen,Jetta,2022,SUV,Diesel,Automatic,Ibadan,3,16850569.12,50551707.36,AutoNation,New
94,03/04/2019,Volkswagen,Jetta,2018,SUV,Diesel,Manual,Kano,22,28812024.53,633864539.7,CarPoint,New
95,02/12/2019,Mercedes,GLC,2021,Truck,Petrol,Automatic,Abuja,5,11482328.57,57411642.85,CarPoint,New
96,21/11/2020,Toyota,Highlander,2024,Truck,Petrol,Automatic,Ibadan,3,36941806.61,110825419.8,CarPoint,Returning
97,25/09/2019,Lexus,ES,2018,SUV,Diesel,Manual,Lagos,15,43902816.65,658542249.8,MegaMotors,New
98,18/11/2020,Mercedes,C-Class,2024,SUV,Electric,Manual,Lagos,11,43434446.13,477778907.4,SpeedHub,New
99,14/11/2023,Honda,Accord,2022,SUV,Petrol,Automatic,Abuja,22,17716277.85,389758112.7,AutoNation,Returning
100,06/08/2019,Ford,Focus,2023,SUV,Petrol,Manual,Abuja,17,10233233.31,173964966.3,SpeedHub,New
101,17/10/2022,Lexus,LX,2023,Sedan,Diesel,Automatic,Port Harcourt,8,12815809.78,102526478.2,MegaMotors,New
102,18/10/2021,Nissan,Pathfinder,2024,Hatchback,Petrol,Manual,Lagos,6,10127639.63,60765837.78,DriveX,New
103,29/01/2024,Honda,CR-V,2023,Hatchback,Diesel,Automatic,Abuja,10,12268498.31,122684983.1,MegaMotors,New
104,28/10/2019,Kia,Sorento,2020,SUV,Electric,Manual,Kano,5,8855858.31,44279291.55,CarPoint,Returning
105,25/05/2021,Honda,CR-V,2023,Sedan,Hybrid,Automatic,Lagos,13,30268332.72,393488325.4,CarPoint,Returning
106,26/07/2019,Honda,CR-V,2021,SUV,Petrol,Manual,Kano,3,24585796.2,73757388.6,SpeedHub,New
107,04/01/2021,Volkswagen,Atlas,2021,Truck,Hybrid,Manual,Lagos,8,24245269.41,193962155.3,SpeedHub,Returning
108,22/09/2021,Volkswagen,Tiguan,2019,Sedan,Hybrid,Automatic,Ibadan,24,29070379.94,697689118.6,DriveX,Returning
109,13/02/2022,BMW,3 Series,2024,Hatchback,Diesel,Manual,Port Harcourt,7,29635069.53,207445486.7,SpeedHub,Returning
110,29/07/2023,Volkswagen,Tiguan,2023,Hatchback,Electric,Automatic,Kano,8,27565697.85,220525582.8,CarPoint,New
111,22/04/2023,Hyundai,Tucson,2018,Hatchback,Electric,Automatic,Ibadan,5,15553660.93,77768304.65,SpeedHub,Returning
112,03/01/2020,Volkswagen,Tiguan,2023,Sedan,Petrol,Automatic,Lagos,3,39252056.95,117756170.9,DriveX,Returning
113,19/10/2022,Hyundai,Kona,2019,Hatchback,Petrol,Manual,Lagos,21,13360613.75,280572888.8,MegaMotors,New
114,18/10/2024,Volkswagen,Atlas,2022,Truck,Electric,Automatic,Kano,7,23945781.57,167620471,MegaMotors,New
115,25/11/2020,BMW,X3,2018,SUV,Petrol,Automatic,Kano,18,20398472.67,367172508.1,AutoNation,Returning
116,20/02/2021,Lexus,RX,2024,Truck,Petrol,Automatic,Kano,13,21785206.27,283207681.5,DriveX,New
117,06/12/2019,Kia,Seltos,2018,Hatchback,Electric,Automatic,Lagos,24,17513141.64,420315399.4,DriveX,Returning
118,22/04/2024,Nissan,Pathfinder,2022,Sedan,Hybrid,Manual,Kano,15,43095771.47,646436572.1,AutoNation,New
119,25/05/2019,Mercedes,C-Class,2019,Truck,Diesel,Manual,Kano,23,43614844.55,1003141425,CarPoint,New
120,23/09/2024,BMW,5 Series,2018,Sedan,Hybrid,Automatic,Lagos,20,15611340.52,312226810.4,AutoNation,New
121,01/03/2020,Mercedes,E-Class,2019,Hatchback,Electric,Automatic,Lagos,5,9608729.32,48043646.6,MegaMotors,New
122,03/08/2021,Kia,Seltos,2019,Sedan,Petrol,Automatic,Port Harcourt,25,14024019.82,350600495.5,DriveX,New
123,24/02/2022,Honda,CR-V,2022,Sedan,Petrol,Manual,Lagos,20,15365182.53,307303650.6,DriveX,New
124,08/03/2023,Mercedes,C-Class,2018,Truck,Diesel,Manual,Ibadan,23,31654732.67,728058851.4,AutoNation,New
125,12/06/2023,Nissan,Sentra,2021,Sedan,Petrol,Automatic,Kano,19,38764858.48,736532311.1,DriveX,Returning
126,01/01/2022,Lexus,RX,2023,Truck,Electric,Automatic,Kano,3,12085040.92,36255122.76,CarPoint,New
127,14/04/2020,Hyundai,Kona,2018,SUV,Electric,Manual,Lagos,14,31260423.97,437645935.6,DriveX,Returning
128,24/08/2023,Volkswagen,Atlas,2023,Hatchback,Electric,Manual,Port Harcourt,20,11842550.98,236851019.6,DriveX,Returning
129,16/01/2023,Toyota,Corolla,2019,Truck,Hybrid,Automatic,Ibadan,4,8400458.26,33601833.04,MegaMotors,Returning
130,11/07/2024,Kia,Sportage,2018,SUV,Hybrid,Manual,Ibadan,21,42554626.54,893647157.3,DriveX,Returning
131,13/07/2022,Nissan,Altima,2018,Truck,Diesel,Manual,Lagos,12,27376456.05,328517472.6,CarPoint,New
132,21/10/2023,Mercedes,E-Class,2021,Sedan,Diesel,Manual,Abuja,7,22326937.72,156288564,CarPoint,New
133,02/12/2023,Hyundai,Elantra,2020,Truck,Hybrid,Manual,Kano,12,28690548.16,344286577.9,AutoNation,Returning
134,16/12/2019,Lexus,ES,2019,Sedan,Electric,Automatic,Kano,25,15622868.47,390571711.8,MegaMotors,New
135,09/11/2024,Hyundai,Elantra,2020,Hatchback,Petrol,Automatic,Abuja,22,10801317.34,237628981.5,MegaMotors,New
136,12/03/2023,Toyota,Highlander,2020,Sedan,Hybrid,Automatic,Port Harcourt,2,25383962.78,50767925.56,MegaMotors,New
137,27/12/2019,Honda,Accord,2021,Truck,Diesel,Automatic,Kano,18,42918640.89,772535536,AutoNation,New
138,07/03/2021,Kia,Sportage,2019,Hatchback,Electric,Manual,Port Harcourt,21,18967551.18,398318574.8,AutoNation,Returning
139,20/11/2024,Volkswagen,Tiguan,2023,SUV,Diesel,Automatic,Port Harcourt,12,39771285.29,477255423.5,DriveX,New
140,09/08/2024,Hyundai,Elantra,2019,Sedan,Hybrid,Automatic,Abuja,22,11083438.48,243835646.6,AutoNation,Returning
141,26/10/2022,Lexus,NX,2020,Hatchback,Diesel,Automatic,Abuja,19,19210294.97,364995604.4,AutoNation,Returning
142,03/10/2024,Nissan,Rogue,2021,Truck,Diesel,Automatic,Ibadan,10,14727791.29,147277912.9,DriveX,Returning
143,02/06/2021,BMW,5 Series,2020,Truck,Petrol,Manual,Lagos,5,32644575.52,163222877.6,CarPoint,Returning
144,22/11/2021,BMW,X3,2024,Hatchback,Electric,Manual,Kano,6,15584822.85,93508937.1,SpeedHub,Returning
145,04/06/2022,Hyundai,Elantra,2020,Truck,Electric,Automatic,Kano,8,13514798.07,108118384.6,DriveX,Returning
146,28/04/2023,Kia,Rio,2021,Hatchback,Petrol,Automatic,Ibadan,20,21141345.59,422826911.8,SpeedHub,New
147,11/06/2021,Kia,Sportage,2021,Truck,Electric,Automatic,Kano,12,25566559.67,306798716,DriveX,Returning
148,06/03/2020,Honda,Accord,2020,Truck,Petrol,Automatic,Abuja,16,40131595.64,642105530.2,MegaMotors,Returning
149,24/01/2022,Mercedes,GLE,2020,Sedan,Hybrid,Manual,Lagos,9,22876960.92,205892648.3,CarPoint,Returning
150,15/07/2019,Mercedes,GLE,2022,Sedan,Electric,Automatic,Port Harcourt,19,23111663.79,439121612,AutoNation,New
151,23/04/2023,BMW,X3,2023,Truck,Hybrid,Manual,Abuja,9,22756644,204809796,SpeedHub,New
152,17/02/2019,Honda,Civic,2024,Sedan,Hybrid,Manual,Abuja,17,10015146.57,170257491.7,MegaMotors,New
153,23/02/2023,Toyota,Corolla,2019,Sedan,Electric,Manual,Lagos,19,9071866.64,172365466.2,AutoNation,New
154,16/08/2023,Kia,Sportage,2024,Sedan,Diesel,Manual,Abuja,14,24942894.89,349200528.5,SpeedHub,New
155,10/10/2024,Honda,Accord,2022,Truck,Hybrid,Manual,Abuja,7,17388318.54,121718229.8,DriveX,Returning
156,18/01/2019,Mercedes,GLE,2023,Sedan,Diesel,Automatic,Lagos,22,24369715.67,536133744.7,DriveX,Returning
157,22/05/2022,Kia,Sportage,2018,Truck,Diesel,Automatic,Lagos,12,8599719.13,103196629.6,CarPoint,Returning
158,08/06/2021,BMW,X5,2020,Sedan,Diesel,Manual,Ibadan,20,35458926.64,709178532.8,SpeedHub,New
159,04/01/2019,Nissan,Pathfinder,2020,Hatchback,Petrol,Automatic,Ibadan,7,20902276.07,146315932.5,DriveX,Returning
160,13/07/2022,Toyota,Corolla,2020,Truck,Hybrid,Manual,Ibadan,23,17672934.24,406477487.5,DriveX,Returning
161,29/02/2020,Lexus,LX,2020,Sedan,Hybrid,Manual,Kano,17,10557604.64,179479278.9,SpeedHub,New
162,07/06/2023,Toyota,Camry,2021,Sedan,Diesel,Manual,Abuja,18,28517597.94,513316762.9,SpeedHub,Returning
163,01/11/2020,Kia,Sorento,2021,SUV,Petrol,Automatic,Kano,2,43215609.29,86431218.58,SpeedHub,Returning
164,11/11/2022,Nissan,Altima,2018,Sedan,Electric,Automatic,Port Harcourt,14,35253136.9,493543916.6,MegaMotors,Returning
165,25/07/2019,Volkswagen,Atlas,2019,SUV,Electric,Automatic,Ibadan,25,9239306.42,230982660.5,CarPoint,Returning
166,29/03/2023,Toyota,Highlander,2019,SUV,Hybrid,Manual,Port Harcourt,12,38228593.03,458743116.4,DriveX,Returning
167,14/05/2019,BMW,X3,2021,SUV,Electric,Manual,Lagos,8,42258499.89,338067999.1,AutoNation,Returning
168,01/05/2022,Nissan,Pathfinder,2020,SUV,Electric,Automatic,Abuja,6,37949493.9,227696963.4,SpeedHub,New
169,29/11/2024,Toyota,Highlander,2024,SUV,Diesel,Automatic,Lagos,5,8900282.86,44501414.3,AutoNation,New
170,29/10/2022,Toyota,Highlander,2024,Sedan,Diesel,Automatic,Port Harcourt,9,37397082.48,336573742.3,MegaMotors,Returning
171,18/10/2024,Ford,Explorer,2023,Hatchback,Petrol,Manual,Ibadan,23,42815839.03,984764297.7,MegaMotors,Returning
172,04/09/2022,BMW,5 Series,2024,Sedan,Hybrid,Automatic,Kano,23,41002191.7,943050409.1,SpeedHub,New
173,03/03/2022,Mercedes,C-Class,2019,SUV,Diesel,Manual,Port Harcourt,12,11656674.21,139880090.5,AutoNation,New
174,20/09/2021,Toyota,Corolla,2018,Sedan,Petrol,Automatic,Kano,23,38619557.07,888249812.6,CarPoint,New
175,11/05/2024,Lexus,ES,2018,Truck,Diesel,Automatic,Lagos,10,42862212.53,428622125.3,AutoNation,Returning
176,01/07/2021,Toyota,Corolla,2018,Truck,Diesel,Manual,Ibadan,1,9201262.55,9201262.55,SpeedHub,New
177,04/04/2020,Kia,Sportage,2022,Sedan,Petrol,Manual,Ibadan,16,25625994.1,410015905.6,MegaMotors,New
178,03/07/2021,Hyundai,Santa Fe,2023,Hatchback,Hybrid,Automatic,Kano,18,14128111.75,254306011.5,MegaMotors,New
179,27/06/2020,Kia,Sorento,2020,Sedan,Petrol,Automatic,Port Harcourt,13,12741732.26,165642519.4,CarPoint,Returning
180,09/12/2023,Mercedes,E-Class,2020,Hatchback,Petrol,Automatic,Port Harcourt,2,42489437.05,84978874.1,AutoNation,Returning
181,27/02/2022,Kia,Seltos,2022,Hatchback,Electric,Manual,Abuja,20,38272607.48,765452149.6,AutoNation,Returning
182,12/08/2019,Kia,Seltos,2020,Sedan,Petrol,Automatic,Port Harcourt,19,30361139.58,576861652,DriveX,Returning
183,12/01/2023,Volkswagen,Jetta,2022,SUV,Diesel,Manual,Lagos,1,41663775.96,41663775.96,SpeedHub,New
184,18/02/2024,Lexus,LX,2024,Sedan,Diesel,Automatic,Ibadan,24,16657228.6,399773486.4,AutoNation,New
185,09/09/2019,Mercedes,GLC,2023,SUV,Petrol,Manual,Lagos,23,19374530.34,445614197.8,MegaMotors,Returning
186,30/03/2024,Toyota,Camry,2018,Sedan,Petrol,Manual,Ibadan,23,9985992.75,229677833.3,DriveX,Returning
187,21/12/2021,Ford,Explorer,2024,Sedan,Hybrid,Automatic,Kano,16,41623694.49,665979111.8,MegaMotors,New
188,14/06/2024,Mercedes,GLC,2022,Sedan,Hybrid,Automatic,Kano,16,22757517.34,364120277.4,DriveX,New
189,24/07/2022,Mercedes,GLE,2018,SUV,Hybrid,Manual,Ibadan,2,18305329.19,36610658.38,SpeedHub,Returning
190,25/08/2024,Toyota,Highlander,2019,Truck,Electric,Manual,Ibadan,11,23435464.44,257790108.8,DriveX,New
191,21/09/2019,Hyundai,Tucson,2024,SUV,Petrol,Automatic,Lagos,6,27483104.51,164898627.1,DriveX,Returning
192,15/02/2023,BMW,3 Series,2023,Hatchback,Diesel,Manual,Lagos,3,9871433.87,29614301.61,AutoNation,New
193,31/12/2021,Honda,CR-V,2024,Truck,Diesel,Automatic,Abuja,20,27332231.94,546644638.8,SpeedHub,New
194,27/01/2023,Kia,Seltos,2022,SUV,Diesel,Automatic,Port Harcourt,10,17056119.72,170561197.2,AutoNation,Returning
195,30/05/2022,Kia,Sportage,2018,Hatchback,Electric,Manual,Ibadan,8,13903395.62,111227165,DriveX,New
196,18/12/2020,Honda,Civic,2024,Sedan,Petrol,Manual,Kano,15,40440517.68,606607765.2,SpeedHub,Returning
197,11/04/2024,Hyundai,Santa Fe,2019,SUV,Diesel,Manual,Port Harcourt,19,25207638.24,478945126.6,DriveX,New
198,10/09/2024,Lexus,ES,2024,SUV,Electric,Automatic,Lagos,24,21694364.13,520664739.1,CarPoint,Returning
199,23/05/2020,Lexus,LX,2024,Sedan,Diesel,Manual,Abuja,18,9848116.66,177266099.9,CarPoint,Returning
200,07/07/2019,Mercedes,E-Class,2019,Hatchback,Petrol,Manual,Abuja,3,12640688.05,37922064.15,MegaMotors,Returning
201,03/11/2019,Ford,Explorer,2018,Hatchback,Electric,Automatic,Port Harcourt,10,42867229.7,428672297,CarPoint,Returning
202,13/10/2024,Hyundai,Tucson,2019,Sedan,Diesel,Manual,Lagos,20,27649039.51,552980790.2,MegaMotors,Returning
203,28/11/2023,Hyundai,Santa Fe,2020,Truck,Hybrid,Manual,Ibadan,24,11270225.46,270485411,AutoNation,New
204,03/07/2023,Kia,Sorento,2023,Truck,Petrol,Manual,Lagos,21,44384716.27,932079041.7,CarPoint,New
205,17/01/2023,Nissan,Rogue,2019,Hatchback,Diesel,Manual,Lagos,7,12039240.19,84274681.33,CarPoint,New
206,26/06/2019,Toyota,Highlander,2019,Sedan,Hybrid,Automatic,Abuja,18,33439010.6,601902190.8,CarPoint,Returning
207,29/09/2019,Mercedes,GLC,2024,SUV,Electric,Manual,Lagos,18,26272548.17,472905867.1,AutoNation,Returning
208,20/04/2021,Kia,Sportage,2019,SUV,Electric,Automatic,Abuja,5,11286687.73,56433438.65,CarPoint,New
209,09/04/2023,Honda,Pilot,2020,Hatchback,Electric,Automatic,Kano,19,32583183.98,619080495.6,SpeedHub,Returning
210,15/06/2019,Ford,Escape,2024,Sedan,Electric,Automatic,Port Harcourt,11,41205546.94,453261016.3,AutoNation,Returning
211,15/12/2019,Honda,Accord,2022,SUV,Diesel,Automatic,Port Harcourt,16,28092283.54,449476536.6,CarPoint,Returning
212,10/07/2022,Kia,Seltos,2020,SUV,Hybrid,Automatic,Ibadan,22,30188838.82,664154454,SpeedHub,New
213,21/11/2022,Ford,Escape,2023,Truck,Petrol,Automatic,Abuja,10,10725330.87,107253308.7,MegaMotors,New
214,24/08/2021,BMW,X3,2022,SUV,Petrol,Manual,Port Harcourt,7,17486432.84,122405029.9,SpeedHub,Returning
215,23/06/2021,Mercedes,E-Class,2023,Sedan,Electric,Manual,Lagos,4,8075389.57,32301558.28,DriveX,Returning
